enrollment_id,resident_id,benefit_type,enrollment_date,activation_date,cancellation_date,monthly_fee
E00108,R00031,credit_building,2023-10-21,2023-10-23,,5
E00109,R00031,rewards_program,2023-11-01,2023-11-06,,0
E00110,R00032,pest_control,2023-11-05,,,8
E00111,R00032,renters_insurance,2023-09-26,2023-10-10,,15
E00112,R00032,air_filter,2023-09-27,,,12
E00113,R00033,renters_insurance,2022-09-27,,,15
E00114,R00033,rewards_program,2022-10-25,2022-11-02,,0
E00115,R00033,air_filter,2022-10-01,,,12
E00116,R00034,renters_insurance,2023-05-01,,,15
E00117,R00034,credit_building,2023-04-08,2023-04-19,,5
E00118,R00035,rewards_program,2022-11-18,2022-11-30,,0
E00119,R00035,air_filter,2022-10-30,,,12
E00120,R00035,renters_insurance,2022-11-21,2022-11-29,,15
E00121,R00035,credit_building,2022-11-04,2022-11-04,,5
E00122,R00036,pest_control,2024-09-01,2024-09-06,,8
E00123,R00036,credit_building,2024-08-12,2024-08-12,,5
E00124,R00036,renters_insurance,2024-08-18,,,15
E00125,R00037,air_filter,2022-09-14,2022-09-22,,12
E00126,R00037,credit_building,2022-09-10,2022-09-17,,5
E00127,R00037,renters_insurance,2022-09-18,2022-09-24,2023-03-02,15
E00128,R00038,rewards_program,2024-08-25,,,0
E00129,R00038,renters_insurance,2024-09-05,2024-09-18,2024-12-12,15
E00130,R00039,pest_control,2024-01-15,,,8
E00131,R00039,renters_insurance,2023-12-24,2023-12-27,,15
E00132,R00039,air_filter,2024-01-20,2024-01-31,,12
E00133,R00039,rewards_program,2024-01-06,,,0
E00134,R00040,pest_control,2023-03-01,2023-03-06,,8
E00135,R00040,renters_insurance,2023-02-25,,,15
E00136,R00040,credit_building,2023-02-13,2023-02-13,,5
E00137,R00041,pest_control,2024-08-05,2024-08-15,,8
E00138,R00041,credit_building,2024-07-23,2024-07-30,,5
E00139,R00041,renters_insurance,2024-07-19,2024-07-22,,15
E00140,R00042,renters_insurance,2024-08-07,,,15
E00141,R00042,credit_building,2024-07-26,2024-08-04,,5
E00142,R00042,rewards_program,2024-07-19,,,0
E00143,R00042,pest_control,2024-07-14,2024-07-28,2024-09-22,8
E00144,R00043,rewards_program,2023-02-24,2023-03-03,,0
E00145,R00043,renters_insurance,2023-04-01,,,15
E00146,R00043,credit_building,2023-03-16,2023-03-21,,5
E00147,R00044,rewards_program,2022-10-03,2022-10-15,2022-11-23,0
E00148,R00044,air_filter,2022-12-05,2022-12-14,,12
E00149,R00044,credit_building,2022-09-25,2022-10-03,,5
E00150,R00045,air_filter,2024-07-18,2024-07-30,,12
E00151,R00045,credit_building,2024-06-29,2024-07-10,,5
E00152,R00045,renters_insurance,2024-07-21,2024-07-27,2024-08-11,15
E00153,R00046,credit_building,2022-07-23,2022-07-28,,5
E00154,R00046,renters_insurance,2022-08-01,2022-08-01,,15
E00155,R00046,pest_control,2022-07-23,2022-08-03,,8
E00156,R00046,air_filter,2022-08-09,,,12
E00157,R00047,rewards_program,2023-08-09,2023-08-13,,0
E00158,R00047,pest_control,2023-07-24,2023-08-05,,8
E00159,R00047,credit_building,2023-07-31,2023-07-31,2023-11-04,5
E00160,R00047,air_filter,2023-07-31,2023-08-09,,12
E00161,R00048,renters_insurance,2024-03-02,2024-03-12,,15
E00162,R00048,pest_control,2024-04-10,,,8
E00163,R00048,air_filter,2024-03-03,2024-03-06,,12
E00164,R00048,credit_building,2024-03-09,2024-03-11,,5
E00165,R00048,rewards_program,2024-02-23,2024-02-23,2024-04-25,0
E00166,R00049,credit_building,2022-07-30,2022-08-06,,5
E00167,R00049,rewards_program,2022-08-24,2022-08-25,,0
E00168,R00049,pest_control,2022-08-10,2022-08-14,2022-09-15,8
E00169,R00050,credit_building,2022-08-09,2022-08-21,2022-11-05,5
E00170,R00050,renters_insurance,2022-08-12,2022-08-20,,15
E00171,R00050,rewards_program,2022-08-28,2022-09-06,,0
E00172,R00050,pest_control,2022-08-21,2022-08-23,,8
E00173,R00050,air_filter,2022-09-03,2022-09-15,,12
E00174,R00051,air_filter,2023-11-22,,,12
E00175,R00051,credit_building,2023-11-01,2023-11-09,,5
E00176,R00051,renters_insurance,2023-10-30,2023-11-06,,15
E00177,R00052,air_filter,2024-10-29,,,12
E00178,R00052,renters_insurance,2025-01-24,2025-02-04,2025-06-11,15
E00179,R00053,renters_insurance,2022-07-29,2022-07-30,2022-12-23,15
E00180,R00053,air_filter,2022-10-05,2022-10-13,,12
E00181,R00053,rewards_program,2022-08-11,2022-08-20,,0
E00182,R00053,pest_control,2022-08-08,2022-08-14,,8
E00183,R00054,credit_building,2022-07-18,2022-07-21,,5
E00184,R00054,air_filter,2022-08-15,2022-08-19,2022-10-05,12
E00185,R00054,pest_control,2022-07-04,,,8
E00186,R00054,rewards_program,2022-09-05,2022-09-09,2023-01-04,0
E00187,R00055,credit_building,2023-08-04,2023-08-08,,5
E00188,R00055,rewards_program,2023-06-05,2023-06-16,,0
E00189,R00055,pest_control,2023-06-20,2023-06-21,,8
E00190,R00055,renters_insurance,2023-06-06,2023-06-07,2023-08-02,15
E00191,R00055,air_filter,2023-06-17,2023-07-01,,12
E00192,R00056,credit_building,2024-08-20,2024-09-01,2024-12-08,5
E00193,R00056,rewards_program,2024-08-11,,,0
E00194,R00056,pest_control,2024-09-21,2024-10-01,,8
E00195,R00057,rewards_program,2022-10-10,2022-10-21,,0
E00196,R00057,pest_control,2022-09-20,2022-09-30,,8
E00197,R00057,renters_insurance,2022-09-18,,,15
E00198,R00057,air_filter,2022-09-23,2022-10-05,,12
E00199,R00057,credit_building,2022-09-20,2022-09-28,2023-03-02,5
E00200,R00058,pest_control,2022-08-02,2022-08-12,,8
E00201,R00058,credit_building,2022-07-19,2022-07-22,,5
E00202,R00058,renters_insurance,2022-07-25,2022-07-29,,15
E00203,R00058,air_filter,2022-09-10,2022-09-14,,12
E00204,R00058,rewards_program,2022-08-05,2022-08-18,,0
E00205,R00059,air_filter,2022-08-06,2022-08-18,2022-09-22,12
E00206,R00059,renters_insurance,2022-09-15,,,15
E00207,R00059,credit_building,2022-07-19,2022-07-31,,5
E00208,R00060,air_filter,2022-10-18,,,12
E00209,R00060,rewards_program,2022-10-08,2022-10-22,,0
E00210,R00060,pest_control,2022-10-10,,,8
E00211,R00060,renters_insurance,2022-09-23,,,15
E00212,R00061,renters_insurance,2022-12-28,2023-01-09,,15
E00213,R00061,credit_building,2023-01-01,2023-01-04,,5
E00214,R00061,rewards_program,2023-01-04,2023-01-13,,0
E00215,R00062,air_filter,2022-10-05,2022-10-08,,12
E00216,R00062,rewards_program,2022-10-13,2022-10-27,,0
E00217,R00062,renters_insurance,2022-10-06,,,15
E00218,R00062,pest_control,2022-09-26,,,8
E00219,R00062,credit_building,2022-10-28,2022-11-08,2022-10-30,5
E00220,R00063,pest_control,2024-05-27,,,8
E00221,R00063,credit_building,2024-05-31,,,5
E00222,R00063,renters_insurance,2024-05-24,2024-05-26,,15
E00223,R00063,rewards_program,2024-06-01,,,0
E00224,R00064,rewards_program,2023-04-17,,,0
E00225,R00064,pest_control,2023-04-25,2023-05-05,2023-06-24,8
E00226,R00064,credit_building,2023-05-29,2023-06-01,,5
E00227,R00064,renters_insurance,2023-06-13,,,15
E00228,R00065,renters_insurance,2023-07-12,2023-07-19,,15
E00229,R00065,pest_control,2023-07-09,2023-07-10,,8
E00230,R00065,rewards_program,2023-06-29,2023-07-05,,0
E00231,R00066,rewards_program,2023-08-31,2023-09-09,,0
E00232,R00066,credit_building,2023-08-19,2023-08-23,,5
E00233,R00066,pest_control,2023-08-29,2023-08-29,,8
E00234,R00066,air_filter,2023-09-10,2023-09-20,2023-11-14,12
E00235,R00067,pest_control,2024-03-13,2024-03-26,,8
E00236,R00067,rewards_program,2024-03-28,,,0
E00237,R00067,air_filter,2024-03-10,2024-03-20,2024-05-17,12
E00238,R00067,renters_insurance,2024-04-01,2024-04-14,,15
E00239,R00068,renters_insurance,2022-12-20,,,15
E00240,R00068,pest_control,2023-02-28,,,8
E00241,R00069,credit_building,2024-09-12,2024-09-14,,5
E00242,R00069,renters_insurance,2024-09-16,2024-09-22,,15
E00243,R00069,pest_control,2024-09-13,,,8
E00244,R00069,air_filter,2024-11-17,2024-11-25,,12
E00245,R00070,credit_building,2024-02-17,2024-02-18,,5
E00246,R00070,rewards_program,2024-03-27,,,0
E00247,R00070,renters_insurance,2024-02-09,,,15
E00248,R00071,air_filter,2023-02-23,,,12
E00249,R00071,pest_control,2023-01-02,2023-01-08,,8
E00250,R00071,renters_insurance,2022-12-28,,,15
E00251,R00071,rewards_program,2022-12-08,2022-12-09,,0
E00252,R00071,credit_building,2022-12-27,2022-12-27,,5
E00253,R00072,renters_insurance,2024-07-25,2024-08-08,,15
E00254,R00072,pest_control,2024-07-22,,,8
E00255,R00072,air_filter,2024-07-09,,,12
E00256,R00073,rewards_program,2024-06-14,2024-06-16,,0
E00257,R00073,renters_insurance,2024-06-19,2024-07-03,,15
E00258,R00074,pest_control,2024-08-13,2024-08-17,,8
E00259,R00074,renters_insurance,2024-07-08,,,15
E00260,R00074,rewards_program,2024-07-03,2024-07-17,,0
E00261,R00074,credit_building,2024-07-06,2024-07-14,,5
E00262,R00075,pest_control,2023-10-27,,,8
E00263,R00075,rewards_program,2023-10-15,2023-10-24,,0
E00264,R00075,air_filter,2023-10-19,2023-10-20,,12
E00265,R00075,renters_insurance,2023-10-13,2023-10-23,,15
E00266,R00075,credit_building,2023-10-22,,,5
E00267,R00076,credit_building,2022-11-12,2022-11-17,,5
E00268,R00076,pest_control,2022-10-09,,,8
E00269,R00076,air_filter,2022-10-21,,,12
E00270,R00076,rewards_program,2022-10-12,2022-10-26,,0
E00271,R00077,renters_insurance,2024-09-03,2024-09-11,,15
E00272,R00077,credit_building,2024-08-28,2024-09-06,,5
E00273,R00077,rewards_program,2024-10-17,2024-10-28,,0
E00274,R00078,rewards_program,2024-11-08,2024-11-09,,0
E00275,R00078,credit_building,2024-09-22,2024-09-29,,5
E00276,R00078,air_filter,2024-09-20,2024-09-23,,12
E00277,R00078,pest_control,2024-11-17,2024-11-28,,8
E00278,R00078,renters_insurance,2024-09-29,2024-10-09,,15
E00279,R00079,renters_insurance,2024-09-01,2024-09-03,,15
E00280,R00079,credit_building,2024-07-14,2024-07-19,,5
E00281,R00079,pest_control,2024-08-06,,,8
E00282,R00080,rewards_program,2024-01-31,2024-02-07,,0
E00283,R00080,credit_building,2024-02-20,2024-02-21,2024-07-20,5
E00284,R00080,air_filter,2023-12-12,2023-12-13,,12
E00285,R00080,pest_control,2023-12-18,2023-12-23,,8
E00286,R00081,air_filter,2023-04-12,2023-04-21,,12
E00287,R00081,credit_building,2023-04-17,2023-04-24,,5
E00288,R00081,renters_insurance,2023-04-21,2023-04-23,,15
E00289,R00082,credit_building,2024-10-07,2024-10-12,,5
E00290,R00082,pest_control,2024-09-14,2024-09-19,,8
E00291,R00082,rewards_program,2024-09-17,2024-09-28,,0
E00292,R00082,renters_insurance,2024-09-18,2024-10-02,2024-11-13,15
E00293,R00083,pest_control,2023-01-16,2023-01-21,2023-07-05,8
E00294,R00083,renters_insurance,2022-12-30,,,15
E00295,R00084,credit_building,2023-01-30,2023-02-05,,5
E00296,R00084,air_filter,2023-02-23,2023-03-08,,12
E00297,R00084,renters_insurance,2023-04-10,2023-04-11,,15
E00298,R00084,rewards_program,2023-03-23,2023-04-05,,0
E00299,R00085,air_filter,2024-11-12,2024-11-26,,12
E00300,R00085,renters_insurance,2024-11-20,2024-11-26,,15
E00301,R00085,pest_control,2024-09-26,,,8
E00302,R00085,rewards_program,2024-10-21,2024-10-29,2025-02-20,0
E00303,R00086,renters_insurance,2024-03-29,2024-04-09,2024-05-09,15
E00304,R00086,pest_control,2024-03-08,2024-03-13,2024-04-16,8
E00305,R00086,credit_building,2024-03-29,2024-04-07,,5
E00306,R00086,air_filter,2024-03-02,,,12
E00307,R00087,renters_insurance,2022-08-06,2022-08-08,2023-01-26,15
E00308,R00087,air_filter,2022-09-04,2022-09-12,2023-02-05,12
E00309,R00087,rewards_program,2022-08-04,2022-08-09,,0
E00310,R00087,credit_building,2022-08-14,2022-08-25,,5
E00311,R00088,credit_building,2022-07-10,2022-07-24,,5
E00312,R00088,air_filter,2022-07-17,2022-07-27,,12
E00313,R00088,pest_control,2022-07-21,,,8
E00314,R00088,renters_insurance,2022-07-12,2022-07-15,2022-12-05,15
E00315,R00088,rewards_program,2022-07-25,2022-07-28,2022-11-26,0
E00316,R00089,rewards_program,2022-12-26,2023-01-07,,0
E00317,R00089,renters_insurance,2023-01-04,,,15
E00318,R00089,air_filter,2023-01-06,2023-01-17,,12
E00319,R00089,credit_building,2022-12-18,2022-12-23,,5
E00320,R00090,air_filter,2023-09-06,2023-09-15,,12
E00321,R00090,rewards_program,2023-10-03,2023-10-15,,0
E00322,R00090,pest_control,2023-09-13,2023-09-24,,8
E00323,R00091,pest_control,2023-01-29,,,8
E00324,R00091,credit_building,2022-12-11,,,5
E00325,R00091,rewards_program,2022-12-27,,,0
E00326,R00092,rewards_program,2022-09-25,,,0
E00327,R00092,pest_control,2022-07-17,,,8
E00328,R00092,renters_insurance,2022-08-05,2022-08-17,,15
E00329,R00092,air_filter,2022-07-30,2022-08-06,,12
E00330,R00093,credit_building,2023-09-14,2023-09-15,,5
E00331,R00093,rewards_program,2023-09-04,2023-09-14,,0
E00332,R00093,renters_insurance,2023-11-10,2023-11-17,2024-03-10,15
E00333,R00093,pest_control,2023-09-15,2023-09-27,,8
E00334,R00094,rewards_program,2022-09-08,2022-09-22,,0
E00335,R00094,pest_control,2022-09-15,,,8
E00336,R00094,air_filter,2022-11-17,2022-11-23,,12
E00337,R00095,air_filter,2024-09-22,2024-09-25,2025-03-19,12
E00338,R00095,credit_building,2024-07-24,2024-07-31,,5
E00339,R00096,rewards_program,2023-07-20,2023-07-24,,0
E00340,R00096,air_filter,2023-06-25,,,12
E00341,R00096,credit_building,2023-07-04,2023-07-17,2023-12-03,5
E00342,R00096,pest_control,2023-07-12,,,8
E00343,R00097,credit_building,2023-08-22,2023-08-28,2023-12-02,5
E00344,R00097,air_filter,2023-08-22,2023-08-30,,12
E00345,R00097,rewards_program,2023-08-14,,,0
E00346,R00098,rewards_program,2024-06-10,2024-06-18,,0
E00347,R00098,renters_insurance,2024-07-15,2024-07-25,,15
E00348,R00098,credit_building,2024-05-26,2024-05-30,,5
E00349,R00098,air_filter,2024-05-23,2024-05-30,,12
E00350,R00099,renters_insurance,2023-08-02,2023-08-08,2023-10-26,15
E00351,R00099,pest_control,2023-07-07,,,8
E00352,R00099,air_filter,2023-07-23,2023-07-29,,12
E00353,R00099,rewards_program,2023-07-13,2023-07-21,,0
E00354,R00100,credit_building,2024-08-25,2024-09-02,,5
E00355,R00100,pest_control,2024-08-29,2024-08-30,,8
E00356,R00101,pest_control,2023-07-23,,,8
E00357,R00101,air_filter,2023-07-04,2023-07-11,,12
E00358,R00101,renters_insurance,2023-07-02,2023-07-04,,15
E00359,R00101,rewards_program,2023-07-03,2023-07-15,,0
E00360,R00101,credit_building,2023-09-07,2023-09-12,,5
E00361,R00102,pest_control,2023-10-03,2023-10-07,2024-02-21,8
E00362,R00102,renters_insurance,2023-11-06,,,15
E00363,R00102,rewards_program,2023-10-08,2023-10-15,,0
E00364,R00103,credit_building,2023-06-14,,,5
E00365,R00103,renters_insurance,2023-07-07,2023-07-14,,15
E00366,R00104,renters_insurance,2022-10-22,2022-10-24,,15
E00367,R00104,pest_control,2022-10-27,,,8
E00368,R00104,credit_building,2022-10-30,2022-11-05,,5
E00369,R00104,rewards_program,2022-11-01,2022-11-11,2023-02-14,0
E00370,R00105,air_filter,2024-05-31,,,12
E00371,R00105,rewards_program,2024-06-06,2024-06-13,,0
E00372,R00105,pest_control,2024-06-15,,,8
E00373,R00106,credit_building,2024-06-08,,,5
E00374,R00106,rewards_program,2024-06-18,2024-06-22,,0
E00375,R00106,air_filter,2024-05-26,2024-06-06,,12
E00376,R00107,rewards_program,2022-08-11,,,0
E00377,R00107,pest_control,2022-09-12,,,8
E00378,R00107,air_filter,2022-07-21,,,12
E00379,R00108,renters_insurance,2022-11-03,2022-11-04,,15
E00380,R00108,pest_control,2022-09-03,,,8
E00381,R00108,credit_building,2022-09-22,,,5
E00382,R00109,air_filter,2024-05-14,2024-05-27,,12
E00383,R00109,renters_insurance,2024-05-14,2024-05-23,,15
E00384,R00110,renters_insurance,2024-02-11,2024-02-21,,15
E00385,R00110,pest_control,2024-02-01,2024-02-11,,8
E00386,R00110,rewards_program,2024-02-13,2024-02-27,,0
E00387,R00111,credit_building,2023-05-11,2023-05-13,,5
E00388,R00111,renters_insurance,2023-04-27,,,15
E00389,R00111,pest_control,2023-04-30,2023-05-10,,8
E00390,R00111,rewards_program,2023-05-01,2023-05-01,,0
E00391,R00112,air_filter,2023-02-05,2023-02-07,2023-04-27,12
E00392,R00112,pest_control,2023-01-30,,,8
E00393,R00112,rewards_program,2023-01-31,2023-02-01,,0
E00394,R00112,credit_building,2023-01-26,2023-02-09,,5
E00395,R00113,pest_control,2023-03-19,,,8
E00396,R00113,air_filter,2023-03-28,2023-04-06,,12
E00397,R00113,rewards_program,2023-03-15,2023-03-29,,0
E00398,R00114,credit_building,2024-06-08,2024-06-16,,5
E00399,R00114,air_filter,2024-06-09,2024-06-17,,12
E00400,R00114,rewards_program,2024-06-19,2024-06-28,,0
E00401,R00115,pest_control,2024-10-20,2024-10-29,,8
E00402,R00115,rewards_program,2024-10-14,,,0
E00403,R00115,renters_insurance,2024-09-18,2024-09-18,,15
E00404,R00116,credit_building,2023-11-26,2023-12-08,,5
E00405,R00116,pest_control,2023-11-24,2023-11-27,,8
E00406,R00117,rewards_program,2023-10-09,2023-10-15,,0
E00407,R00117,pest_control,2023-10-03,2023-10-16,,8
E00408,R00118,air_filter,2024-06-28,2024-07-05,,12
E00409,R00118,pest_control,2024-06-11,,,8
E00410,R00118,rewards_program,2024-06-16,2024-06-26,,0
E00411,R00119,air_filter,2024-04-11,,,12
E00412,R00119,renters_insurance,2024-04-17,2024-04-25,,15
E00413,R00119,credit_building,2024-05-17,2024-05-28,,5
E00414,R00119,pest_control,2024-04-21,2024-05-05,2024-07-17,8
E00415,R00119,rewards_program,2024-04-23,2024-05-04,,0
E00416,R00120,air_filter,2022-07-21,,,12
E00417,R00120,renters_insurance,2022-07-31,2022-08-06,,15
E00418,R00120,credit_building,2022-08-06,2022-08-07,,5
E00419,R00121,renters_insurance,2024-05-20,,,15
E00420,R00121,rewards_program,2024-03-29,2024-03-30,,0
E00421,R00121,pest_control,2024-03-14,,,8
E00422,R00122,renters_insurance,2023-06-16,2023-06-18,,15
E00423,R00122,credit_building,2023-07-22,2023-07-31,2023-09-19,5
E00424,R00123,credit_building,2024-10-20,2024-10-27,,5
E00425,R00123,pest_control,2024-10-23,,,8
E00426,R00124,air_filter,2024-05-24,,,12
E00427,R00124,credit_building,2024-05-09,2024-05-11,,5
E00428,R00124,rewards_program,2024-05-22,2024-06-03,,0
E00429,R00124,pest_control,2024-05-06,2024-05-07,,8
E00430,R00124,renters_insurance,2024-05-25,2024-06-01,,15
E00431,R00125,air_filter,2024-01-05,,,12
E00432,R00125,renters_insurance,2024-01-16,2024-01-28,,15
E00433,R00125,pest_control,2023-11-21,,,8
E00434,R00125,rewards_program,2023-11-13,2023-11-23,,0
E00435,R00125,credit_building,2023-10-27,2023-11-01,,5
E00436,R00126,pest_control,2024-08-05,2024-08-16,,8
E00437,R00126,air_filter,2024-07-28,2024-08-06,2024-09-19,12
E00438,R00126,rewards_program,2024-08-15,,,0
E00439,R00126,renters_insurance,2024-07-25,2024-07-25,,15
E00440,R00127,air_filter,2022-09-03,2022-09-06,,12
E00441,R00127,rewards_program,2022-08-23,2022-08-30,,0
E00442,R00127,renters_insurance,2022-09-13,2022-09-24,,15
E00443,R00128,rewards_program,2024-07-26,,,0
E00444,R00128,air_filter,2024-08-03,,,12
E00445,R00128,pest_control,2024-07-20,,,8
E00446,R00128,renters_insurance,2024-07-24,,,15
E00447,R00128,credit_building,2024-07-29,2024-07-29,,5
E00448,R00129,credit_building,2023-02-21,2023-03-05,2023-05-13,5
E00449,R00129,air_filter,2023-01-14,2023-01-16,,12
E00450,R00129,pest_control,2023-02-18,,,8
E00451,R00130,air_filter,2024-07-27,2024-08-05,,12
E00452,R00130,rewards_program,2024-08-31,,,0
E00453,R00131,renters_insurance,2022-11-27,2022-12-08,,15
E00454,R00131,credit_building,2022-11-18,2022-11-20,,5
E00455,R00131,rewards_program,2022-12-13,2022-12-21,,0
E00456,R00131,pest_control,2022-12-01,,,8
E00457,R00132,pest_control,2023-04-26,2023-04-26,,8
E00458,R00132,renters_insurance,2023-04-15,2023-04-29,2023-07-16,15
E00459,R00133,pest_control,2023-10-05,2023-10-09,,8
E00460,R00133,rewards_program,2023-10-27,2023-10-31,2024-01-03,0
E00461,R00133,air_filter,2023-10-15,,,12
E00462,R00133,credit_building,2023-11-23,,,5
E00463,R00133,renters_insurance,2023-12-11,2023-12-20,,15
E00464,R00134,air_filter,2023-02-15,2023-02-24,2023-05-04,12
E00465,R00134,renters_insurance,2023-02-13,,,15
E00466,R00134,rewards_program,2023-01-27,2023-01-30,,0
E00467,R00134,pest_control,2023-01-29,2023-02-12,,8
