resident_id,property_id,lease_start_date,lease_end_date,move_out_date,rent_amount
R00061,P001,2022-12-19,2023-12-14,2023-08-10,2350
R00062,P001,2022-09-14,2023-09-09,2022-10-30,2300
R00063,P001,2024-05-09,2025-05-04,,2500
R00064,P001,2023-04-13,2023-10-10,,2400
R00065,P001,2023-06-25,2024-06-19,,1400
R00066,P001,2023-08-19,2024-08-13,,1500
R00067,P001,2024-03-09,2024-09-05,,1950
R00068,P001,2022-12-12,2023-12-07,,2100
R00069,P001,2024-08-20,2025-08-15,,2400
R00070,P001,2024-01-27,2025-01-21,,2450
R00071,P001,2022-12-05,2023-11-30,,1550
R00072,P001,2024-07-09,2025-07-04,,1700
R00073,P001,2024-05-22,2025-05-17,,1800
R00074,P001,2024-06-28,2024-12-25,,2400
R00075,P001,2023-10-02,2024-03-30,,2600
R00076,P001,2022-10-09,2023-10-04,,2100
R00077,P001,2024-08-18,2025-02-14,,1500
R00078,P001,2024-09-18,2025-03-17,,1950
R00079,P001,2024-07-14,2025-01-10,2024-09-28,1850
R00080,P001,2023-11-26,2024-11-20,,1450
R00081,P001,2023-04-08,2024-04-02,,1950
R00082,P001,2024-09-14,2025-09-09,,2550
R00083,P001,2022-12-08,2023-12-03,,1650
R00084,P001,2023-01-24,2024-01-19,,2050
R00085,P001,2024-09-26,2025-09-21,,1650
R00086,P001,2024-02-28,2024-08-26,,2150
R00087,P001,2022-07-15,2023-07-10,,1750
R00088,P001,2022-07-07,2023-07-02,,1800
R00089,P001,2022-12-09,2023-12-04,,2200
R00090,P001,2023-08-27,2024-08-21,,1400
R00091,P001,2022-12-09,2023-12-04,,1800
R00092,P001,2022-07-14,2023-07-09,,1900
R00093,P001,2023-08-17,2024-02-13,,2300
R00094,P001,2022-08-23,2023-08-18,,2200
R00095,P001,2024-07-24,2025-07-19,,1700
R00096,P001,2023-06-22,2024-06-16,,2350
R00097,P001,2023-08-04,2024-07-29,,1850
R00098,P001,2024-05-14,2025-05-09,,2500
R00099,P001,2023-07-07,2024-07-01,,2000
R00100,P001,2024-08-06,2025-08-01,2024-09-25,1850
R00101,P001,2023-07-01,2024-06-25,,1700
R00102,P001,2023-09-20,2024-09-14,,2100
R00103,P001,2023-06-07,2024-06-01,,2550
R00104,P001,2022-10-10,2023-10-05,2023-10-04,2400
R00105,P001,2024-05-27,2025-05-22,,1750
R00106,P001,2024-05-26,2025-05-21,,1400
R00107,P001,2022-07-16,2023-07-11,2023-01-08,2600
R00108,P001,2022-08-21,2023-08-16,,2500
R00109,P001,2024-05-13,2025-05-08,,2400
R00110,P001,2024-01-25,2025-01-19,,1550
R00111,P001,2023-04-26,2024-04-20,,2200
R00112,P001,2023-01-08,2024-01-03,,1550
R00113,P001,2023-03-15,2024-03-09,2023-08-29,2250
R00114,P001,2024-05-25,2025-05-20,2024-09-28,2350
R00115,P001,2024-09-14,2025-09-09,,2250
R00116,P001,2023-11-24,2024-11-18,,2100
R00117,P001,2023-09-27,2024-09-21,,2600
R00118,P001,2024-06-08,2025-06-03,,1500
R00119,P001,2024-04-09,2025-04-04,2024-09-09,2250
R00120,P001,2022-07-08,2023-07-03,,1600
R00121,P001,2024-03-14,2025-03-09,,2250
R00122,P001,2023-06-07,2024-06-01,,2000
R00123,P001,2024-10-01,2025-09-26,,2600
R00124,P001,2024-05-01,2025-04-26,,1850
R00125,P001,2023-10-27,2024-10-21,,2550
R00126,P001,2024-07-20,2025-07-15,,2150
R00127,P001,2022-08-16,2023-02-12,,1900
R00128,P001,2024-07-13,2025-07-08,,2100
R00129,P001,2022-12-18,2023-06-16,,2000
R00130,P001,2024-07-01,2024-12-28,,2050
R00131,P001,2022-11-06,2023-05-05,,2000
R00132,P001,2023-04-11,2024-04-05,2023-07-16,2000
R00133,P001,2023-09-27,2024-09-21,2024-04-01,1500
R00134,P001,2023-01-18,2023-07-17,,1950
R00135,P001,2022-10-25,2023-10-20,2023-03-20,1450
R00136,P001,2022-12-07,2023-12-02,2023-06-19,2350
R00137,P001,2022-07-16,2023-07-11,2023-03-18,2300
R00138,P001,2022-08-09,2023-08-04,,1650
R00139,P001,2024-07-24,2025-07-19,2024-08-28,2600
R00140,P001,2022-12-04,2023-11-29,,1850
R00141,P001,2024-07-13,2025-07-08,,2500
R00142,P001,2022-07-23,2023-07-18,2022-11-25,1750
R00143,P001,2022-10-10,2023-10-05,,2350
R00144,P001,2022-11-19,2023-11-14,,1950
R00145,P001,2024-06-12,2024-12-09,,2400
R00146,P001,2023-01-14,2024-01-09,2023-07-25,1550
R00147,P001,2023-12-21,2024-12-15,,2100
R00148,P001,2024-02-06,2025-01-31,,2400
R00149,P001,2023-08-18,2024-08-12,2024-06-10,2100
R00150,P001,2023-10-19,2024-10-13,2024-05-25,1750
R00151,P001,2022-08-15,2023-08-10,,2100
R00152,P001,2024-07-13,2025-07-08,,2150
R00153,P001,2023-03-07,2024-03-01,,1800
R00154,P001,2023-05-20,2024-05-14,2023-07-18,1800
R00155,P001,2024-01-07,2024-07-05,,2550
R00156,P001,2023-07-25,2024-07-19,,2150
R00157,P001,2024-08-15,2025-08-10,,1500
R00158,P001,2023-04-23,2024-04-17,,2450
R00159,P001,2024-05-18,2025-05-13,,2050
R00160,P001,2024-07-12,2025-07-07,,1800
R00161,P001,2023-04-04,2024-03-29,,1900
R00162,P001,2022-10-25,2023-10-20,2023-04-09,1700
R00163,P001,2022-10-09,2023-10-04,2023-09-01,2600
R00164,P001,2024-07-04,2025-06-29,,1850
R00165,P001,2022-08-10,2023-02-06,2022-11-29,2250
R00166,P001,2022-08-02,2023-07-28,2022-09-02,2500
R00167,P001,2022-10-25,2023-10-20,2022-12-29,1400
R00168,P001,2024-04-16,2025-04-11,,1650
R00169,P001,2022-08-28,2023-08-23,2023-01-13,1500
R00170,P001,2023-07-19,2024-07-13,,1450
R00171,P001,2022-07-19,2023-07-14,,1500
R00172,P001,2022-07-25,2023-07-20,,2350
R00173,P001,2024-03-17,2025-03-12,,2100
R00174,P001,2023-10-14,2024-10-08,2024-09-07,2350
R00175,P001,2022-09-24,2023-03-23,,2600
R00176,P001,2022-10-09,2023-10-04,,1650
R00177,P001,2022-07-03,2023-06-28,,2050
R00178,P001,2023-08-16,2024-08-10,,1750
R00179,P001,2023-08-23,2024-08-17,,1500
R00180,P001,2024-04-09,2025-04-04,,2400
R00181,P001,2024-07-07,2025-07-02,,2250
R00182,P001,2022-10-09,2023-10-04,,1500
R00183,P001,2022-07-10,2023-07-05,,2300
R00184,P001,2023-06-15,2024-06-09,,2500
R00185,P001,2023-12-17,2024-12-11,,2100
R00186,P001,2022-09-14,2023-09-09,,2350
R00187,P001,2023-01-08,2024-01-03,2023-03-12,2300
R00188,P001,2024-10-25,2025-10-20,,1800
R00189,P001,2024-01-25,2025-01-19,,2200
R00190,P001,2024-06-09,2025-06-04,,2300
R00191,P001,2023-08-16,2024-08-10,,2150
R00192,P001,2023-06-11,2024-06-05,,1650
R00193,P001,2023-06-16,2024-06-10,,2000
R00194,P001,2024-01-03,2024-12-28,,1900
R00195,P001,2022-12-13,2023-12-08,,1400
R00196,P001,2024-09-15,2025-09-10,,1700
R00197,P001,2024-05-25,2025-05-20,,2100
R00198,P001,2022-07-18,2023-01-14,,1850
R00199,P001,2023-11-16,2024-05-14,,2400
R00200,P001,2024-08-23,2025-08-18,,2250
R00201,P001,2022-09-03,2023-08-29,,1550
R00202,P001,2023-12-21,2024-12-15,,2150
R00203,P001,2024-04-23,2025-04-18,,2150
R00204,P001,2023-04-18,2023-10-15,,1700
R00205,P001,2024-06-05,2025-05-31,,1800
R00206,P001,2023-06-26,2024-06-20,,1400
R00207,P001,2023-08-27,2024-08-21,,2450
R00208,P001,2023-10-15,2024-10-09,,1950
R00209,P001,2023-07-18,2024-07-12,,1900
R00210,P001,2022-12-08,2023-12-03,2023-08-02,1750
R00211,P001,2023-01-24,2024-01-19,,2000
R00212,P001,2023-12-26,2024-12-20,,1600
R00213,P001,2023-12-05,2024-11-29,,2300
R00214,P001,2023-11-28,2024-11-22,,1550
R00215,P001,2024-09-01,2025-08-27,,2050
R00216,P001,2024-10-03,2025-09-28,,1800
R00217,P001,2023-08-13,2024-08-07,,1900
R00218,P001,2024-09-13,2025-09-08,,2400
R00219,P001,2024-09-16,2025-09-11,,1450
R00220,P001,2024-01-21,2025-01-15,2024-07-22,1850
R00221,P001,2022-10-14,2023-10-09,2022-12-14,2600
R00222,P001,2024-08-04,2025-07-30,,2500
R00223,P001,2023-11-02,2024-10-27,,1450
R00224,P001,2023-06-14,2023-12-11,2023-08-14,2200
R00225,P001,2023-07-26,2024-07-20,,1650
R00226,P001,2022-09-13,2023-09-08,,1750
R00227,P001,2023-11-05,2024-10-30,,2400
R00228,P002,2023-04-01,2024-03-26,,2300
R00229,P002,2023-08-06,2024-02-02,2023-10-06,2150
R00230,P002,2024-04-14,2025-04-09,2024-06-11,2300
R00231,P002,2023-03-13,2024-03-07,2023-07-16,1750
R00232,P002,2022-08-12,2023-08-07,,2700
R00233,P002,2023-01-27,2024-01-22,,2000
R00234,P002,2022-09-22,2023-09-17,2023-03-17,1650
R00235,P002,2024-08-27,2025-08-22,,2050
R00236,P002,2022-09-12,2023-09-07,,1900
R00237,P002,2024-04-25,2025-04-20,,2650
R00238,P002,2024-08-21,2025-02-17,,2600
R00239,P002,2024-01-26,2025-01-20,,2500
R00240,P002,2023-08-03,2024-07-28,,2100
R00241,P002,2024-06-07,2024-12-04,,2450
R00242,P002,2023-07-09,2024-07-03,,2000
R00243,P002,2023-12-10,2024-12-04,,2100
R00244,P002,2022-08-03,2023-01-30,,1950
R00245,P002,2024-08-13,2025-08-08,,2450
R00246,P002,2023-02-13,2023-08-12,,2450
R00247,P002,2022-08-22,2023-08-17,2023-05-03,2000
R00248,P002,2024-05-21,2025-05-16,,1750
R00249,P002,2024-04-01,2025-03-27,2024-06-13,2450
R00250,P002,2023-11-08,2024-11-02,,2600
R00251,P002,2023-11-10,2024-11-04,2023-12-14,1750
R00252,P002,2022-07-02,2023-06-27,2022-11-03,2350
R00253,P002,2022-07-18,2023-01-14,,2300
R00254,P002,2023-08-24,2024-08-18,,2450
R00255,P002,2023-07-24,2024-07-18,,2250
R00256,P002,2024-02-16,2025-02-10,2024-08-20,2000
R00257,P002,2022-10-07,2023-10-02,,1950
R00258,P002,2023-02-22,2024-02-17,2023-04-09,2600
R00259,P002,2023-01-09,2024-01-04,,1750
R00260,P002,2023-02-07,2024-02-02,,2550
R00261,P002,2022-07-11,2023-07-06,2023-04-24,1800
R00262,P002,2024-03-27,2025-03-22,,1900
R00263,P002,2024-03-28,2025-03-23,,2800
R00264,P002,2022-11-20,2023-05-19,,1800
R00265,P002,2022-09-26,2023-09-21,,2650
R00266,P002,2022-07-12,2023-07-07,2022-10-06,1950
R00267,P002,2024-05-06,2025-05-01,,1800
R00268,P002,2024-06-04,2025-05-30,,2350
R00269,P002,2023-09-17,2024-09-11,2024-08-08,2300
R00270,P002,2024-03-20,2024-09-16,2024-04-29,2650
R00271,P002,2024-04-21,2025-04-16,,1650
R00272,P002,2023-10-14,2024-10-08,2024-06-30,2350
R00273,P002,2024-09-03,2025-08-29,,2100
R00274,P002,2024-02-05,2025-01-30,,2600
R00275,P002,2024-07-11,2025-07-06,,2550
R00276,P002,2024-04-17,2025-04-12,,1750
R00277,P002,2024-02-21,2025-02-15,,2800
R00278,P002,2024-08-07,2025-08-02,,1950
R00279,P002,2023-06-15,2024-06-09,,2750
R00280,P002,2022-08-11,2023-08-06,,2150
R00281,P002,2022-10-16,2023-04-14,,1700
R00282,P002,2022-08-24,2023-08-19,,1800
R00283,P002,2024-01-18,2025-01-12,,2650
R00284,P002,2022-08-28,2023-08-23,2023-06-04,2800
R00285,P002,2023-11-24,2024-05-22,,2050
R00286,P002,2024-05-04,2025-04-29,2024-08-09,1900
R00287,P002,2022-10-08,2023-10-03,,2150
R00288,P002,2024-05-25,2025-05-20,,1950
R00289,P002,2023-10-25,2024-10-19,,2550
R00290,P002,2024-07-01,2025-06-26,,2650
R00291,P002,2024-04-06,2025-04-01,2024-11-02,2800
R00292,P002,2023-11-12,2024-05-10,,1800
R00293,P002,2024-07-03,2024-12-30,,2600
R00294,P002,2022-07-17,2023-07-12,,2250
R00295,P002,2023-06-12,2024-06-06,,2100
R00296,P002,2024-07-02,2025-06-27,,2800
R00297,P002,2024-01-03,2024-12-28,,2650
R00298,P002,2023-07-15,2024-07-09,,1900
R00299,P002,2024-02-14,2024-08-12,,2650
R00300,P002,2024-07-17,2025-07-12,,1650
R00301,P002,2022-08-20,2023-02-16,,1900
R00302,P002,2023-12-25,2024-06-22,,2000
R00303,P002,2023-05-01,2024-04-25,2023-08-02,2250
R00304,P002,2022-07-18,2023-07-13,,2400
R00305,P002,2024-08-26,2025-08-21,2024-10-03,2200
R00306,P002,2024-01-01,2024-12-26,2024-04-20,1700
R00307,P002,2023-07-19,2024-07-13,,2600
R00308,P002,2023-05-13,2023-11-09,,2100
R00309,P002,2022-11-20,2023-11-15,,2700
R00310,P002,2023-02-28,2023-08-27,2023-07-07,2250
R00311,P002,2024-06-03,2025-05-29,,2050
R00312,P002,2024-05-11,2025-05-06,,1700
R00313,P002,2024-07-17,2025-07-12,2024-10-02,2800
R00314,P002,2023-06-27,2024-06-21,2023-12-21,1800
R00315,P002,2022-07-09,2023-07-04,,2550
R00316,P002,2022-11-21,2023-05-20,,2800
R00317,P002,2024-06-25,2025-06-20,,2500
R00318,P002,2023-08-19,2024-08-13,,2550
R00319,P002,2023-10-21,2024-10-15,,2300
R00320,P002,2022-08-21,2023-08-16,2023-05-21,2000
R00321,P002,2024-01-17,2024-07-15,,2300
R00322,P002,2023-01-12,2024-01-07,2023-07-24,1700
R00323,P002,2024-09-28,2025-03-27,,2550
R00324,P002,2024-05-19,2025-05-14,,2750
R00325,P002,2022-08-26,2023-08-21,,1900
R00326,P002,2023-08-17,2024-08-11,,1650
R00327,P002,2023-02-27,2024-02-22,,2700
R00328,P002,2022-09-06,2023-03-05,,2700
R00329,P002,2023-12-17,2024-12-11,2024-02-11,1850
R00330,P002,2023-06-10,2024-06-04,,2800
R00331,P002,2023-08-02,2024-07-27,,2600
R00332,P002,2023-01-04,2023-12-30,,2200
R00333,P002,2023-04-28,2024-04-22,,2550
R00334,P002,2022-08-19,2023-08-14,2023-04-25,2150
R00335,P002,2023-12-23,2024-12-17,2024-04-14,1800
R00336,P002,2024-08-03,2025-07-29,,2200
R00337,P002,2024-08-27,2025-02-23,,2700
R00338,P002,2024-10-17,2025-04-15,,2650
R00339,P002,2023-07-01,2024-06-25,,1850
R00340,P002,2022-08-25,2023-08-20,,1950
R00341,P002,2022-07-10,2023-07-05,2022-08-18,1750
R00342,P002,2024-08-27,2025-08-22,,2400
R00343,P002,2022-10-25,2023-10-20,2022-11-30,2550
R00344,P002,2023-03-06,2024-02-29,,2800
R00345,P002,2024-08-06,2025-08-01,,1650
R00346,P002,2023-06-24,2024-06-18,2024-04-16,2300
R00347,P002,2024-04-24,2025-04-19,,1950
R00348,P002,2024-04-26,2025-04-21,,1900
R00349,P002,2023-08-19,2024-08-13,2024-06-19,2300
R00350,P002,2023-09-17,2024-09-11,2024-07-04,1850
R00351,P002,2022-11-05,2023-10-31,2023-01-27,1650
R00352,P002,2024-06-12,2025-06-07,,1750
R00353,P002,2024-08-28,2025-02-24,,1700
R00354,P002,2022-08-17,2023-02-13,,2250
R00355,P002,2022-12-08,2023-12-03,,2150
R00356,P002,2022-08-13,2023-08-08,,1950
R00357,P002,2023-12-12,2024-12-06,,2100
R00358,P002,2022-11-21,2023-11-16,2023-04-10,1800
R00359,P002,2022-07-27,2023-07-22,,1800
R00360,P002,2024-06-20,2024-12-17,2024-11-13,1700
R00361,P002,2022-08-27,2023-02-23,2023-02-13,2750
R00362,P002,2024-06-04,2025-05-30,,1950
R00363,P002,2023-02-08,2024-02-03,,2550
R00364,P002,2023-01-27,2024-01-22,,2550
R00365,P002,2024-01-17,2025-01-11,2024-09-04,2700
R00366,P002,2022-08-01,2023-07-27,2022-11-12,1950
R00367,P002,2024-06-22,2025-06-17,,2400
R00368,P002,2023-02-17,2024-02-12,,2400
R00369,P002,2024-01-28,2025-01-22,,2600
R00370,P002,2023-12-09,2024-12-03,,2150
R00371,P002,2022-08-24,2023-08-19,,1750
R00372,P002,2024-08-11,2025-02-07,,2150
R00373,P002,2024-05-21,2025-05-16,2024-08-20,2800
R00374,P002,2024-06-23,2025-06-18,,1850
R00375,P002,2022-07-25,2023-07-20,,1650
R00376,P002,2023-04-26,2024-04-20,,1650
R00377,P002,2023-12-17,2024-12-11,,2450
R00378,P002,2023-04-25,2024-04-19,,2050
R00379,P002,2023-10-02,2024-09-26,2024-05-15,2100
R00380,P002,2023-02-12,2024-02-07,,2200
R00381,P002,2024-06-13,2025-06-08,,1850
R00382,P002,2023-08-12,2024-08-06,,2400
R00383,P002,2023-10-24,2024-10-18,,2250
R00384,P002,2024-10-06,2025-10-01,,2100
R00385,P002,2022-07-22,2023-07-17,2022-10-13,2300
R00386,P002,2024-08-06,2025-08-01,2024-10-31,2150
R00387,P002,2023-01-28,2024-01-23,,2550
R00388,P002,2023-05-26,2024-05-20,,1700
R00389,P002,2024-07-12,2025-07-07,,2750
R00390,P002,2024-03-01,2024-08-28,,2550
R00391,P002,2024-08-02,2025-01-29,,1950
R00392,P002,2024-05-13,2025-05-08,,1650
R00393,P002,2024-02-15,2025-02-09,,2150
R00394,P002,2023-09-19,2024-03-17,,2150
R00395,P002,2023-05-09,2024-05-03,2023-10-12,1750
R00396,P002,2022-10-16,2023-10-11,,2450
R00397,P002,2022-08-09,2023-08-04,,1900
R00398,P002,2024-04-16,2025-04-11,2024-05-23,1800
R00399,P002,2022-08-23,2023-08-18,,1700
R00400,P002,2024-10-11,2025-10-06,,2700
R00401,P002,2022-09-10,2023-09-05,2023-02-14,1850
R00402,P002,2024-08-23,2025-08-18,,2150
R00403,P002,2024-03-07,2025-03-02,,1950
R00404,P002,2023-01-18,2024-01-13,,2300
R00405,P002,2024-02-03,2024-08-01,2024-04-18,2200
R00406,P002,2024-08-17,2025-08-12,,2250
R00407,P003,2022-12-21,2023-06-19,,2500
R00408,P003,2024-06-05,2025-05-31,,3000
R00409,P003,2024-07-06,2025-07-01,,2000
R00410,P003,2023-07-28,2024-01-24,,1950
R00411,P003,2024-02-06,2025-01-31,2024-10-03,2900
R00412,P003,2022-08-17,2023-08-12,,3150
R00413,P003,2022-08-21,2023-08-16,,2200
R00414,P003,2022-10-20,2023-10-15,2023-03-20,2600
R00415,P003,2024-03-19,2025-03-14,,2850
R00416,P003,2024-08-20,2025-08-15,,2700
R00417,P003,2022-11-01,2023-04-30,,2800
R00418,P003,2024-04-07,2025-04-02,,2450
R00419,P003,2024-07-16,2025-07-11,2024-11-01,2650
R00420,P003,2023-08-10,2024-08-04,,3050
R00421,P003,2024-06-15,2024-12-12,,1850
R00422,P003,2022-08-16,2023-08-11,,2300
R00423,P003,2024-02-28,2025-02-22,,2950
R00424,P003,2023-12-05,2024-11-29,,2600
R00425,P003,2024-02-08,2025-02-02,,2200
R00426,P003,2023-04-04,2023-10-01,,2400
R00427,P003,2024-06-28,2025-06-23,,3100
R00428,P003,2023-12-24,2024-12-18,2024-03-31,3000
R00429,P003,2022-08-17,2023-08-12,,3200
R00430,P003,2023-07-03,2024-06-27,,2600
R00431,P003,2023-12-07,2024-12-01,,1850
R00432,P003,2022-08-20,2023-08-15,,2800
R00433,P003,2024-06-18,2024-12-15,2024-08-21,1950
R00434,P003,2023-03-09,2024-03-03,,3000
R00435,P003,2023-06-13,2023-12-10,2023-09-27,2650
R00436,P003,2022-08-10,2023-02-06,,2600
R00437,P003,2023-09-09,2024-09-03,,2750
R00438,P003,2024-07-05,2025-06-30,,2400
R00439,P003,2023-09-11,2024-09-05,,2350
R00440,P003,2022-07-17,2023-07-12,,1850
R00441,P003,2022-07-23,2023-07-18,,2550
R00442,P003,2024-06-20,2025-06-15,,2000
R00443,P003,2023-11-11,2024-11-05,,2750
R00444,P003,2024-08-19,2025-08-14,,3100
R00445,P003,2024-06-23,2025-06-18,,2550
R00446,P003,2022-08-22,2023-02-18,,2450
R00447,P003,2024-04-24,2025-04-19,,2800
R00448,P003,2022-09-09,2023-09-04,,3050
R00449,P003,2024-07-24,2025-01-20,,2550
R00450,P003,2022-09-24,2023-09-19,,3100
R00451,P003,2023-03-22,2024-03-16,,2700
R00452,P003,2024-02-01,2025-01-26,,2450
R00453,P003,2022-08-07,2023-08-02,,3000
R00454,P003,2024-09-28,2025-09-23,,2950
R00455,P003,2022-10-17,2023-10-12,,2300
R00456,P003,2024-06-13,2025-06-08,,2050
R00457,P003,2023-11-11,2024-11-05,,2850
R00458,P003,2024-07-26,2025-07-21,,2750
R00459,P003,2023-03-08,2024-03-02,2024-02-15,2250
R00460,P003,2022-12-10,2023-12-05,,2900
R00461,P003,2022-10-16,2023-10-11,,2350
R00462,P003,2024-10-26,2025-10-21,,2250
R00463,P003,2022-09-18,2023-09-13,,2400
R00464,P003,2023-12-26,2024-06-23,,1850
R00465,P003,2023-12-03,2024-11-27,,2500
R00466,P003,2024-04-16,2025-04-11,,3100
R00467,P003,2024-04-18,2025-04-13,,2000
R00468,P003,2022-09-19,2023-09-14,,1850
R00469,P003,2024-09-08,2025-09-03,,1850
R00470,P003,2022-08-23,2023-08-18,,2850
R00471,P003,2022-07-18,2023-07-13,,2050
R00472,P003,2023-08-16,2024-08-10,,2100
R00473,P003,2023-05-21,2023-11-17,2023-07-16,3000
R00474,P003,2022-10-08,2023-10-03,,2950
R00475,P003,2022-12-06,2023-12-01,,3100
R00476,P003,2022-12-02,2023-11-27,,2400
R00477,P003,2023-03-24,2024-03-18,2023-05-28,2250
R00478,P003,2022-07-19,2023-07-14,,2300
R00479,P003,2023-06-21,2024-06-15,,2550
R00480,P003,2022-11-15,2023-11-10,,3050
R00481,P003,2022-08-24,2023-08-19,,2200
R00482,P003,2024-03-24,2025-03-19,,2250
R00483,P003,2024-07-07,2025-07-02,,3150
R00484,P003,2024-09-27,2025-09-22,,2300
R00485,P003,2022-08-04,2023-07-30,,2000
R00486,P003,2023-05-08,2023-11-04,,2400
R00487,P003,2022-08-09,2023-08-04,,2250
R00488,P003,2024-08-01,2025-07-27,,2350
R00489,P003,2024-04-22,2024-10-19,,2250
R00490,P003,2022-08-17,2023-08-12,2023-01-08,3200
R00491,P003,2024-08-23,2025-02-19,,2250
R00492,P003,2023-08-08,2024-08-02,2024-04-12,2550
R00493,P003,2022-08-20,2023-08-15,,2900
R00494,P003,2024-09-25,2025-09-20,,2850
R00495,P003,2022-11-22,2023-11-17,,3150
R00496,P003,2022-09-17,2023-09-12,,1900
R00497,P003,2024-02-27,2025-02-21,2024-07-10,2600
R00498,P003,2022-09-05,2023-08-31,2023-06-15,3150
R00499,P003,2024-06-22,2025-06-17,,2700
R00500,P003,2023-02-17,2024-02-12,2023-11-26,1850
R00501,P003,2023-02-14,2024-02-09,,1850
R00502,P003,2024-06-26,2025-06-21,,1800
R00503,P003,2023-04-01,2024-03-26,,2700
R00504,P003,2022-07-12,2023-07-07,2022-11-28,2650
R00505,P003,2022-12-03,2023-11-28,,2550
R00506,P003,2022-08-06,2023-08-01,,3000
R00507,P003,2024-10-21,2025-10-16,,2350
R00508,P003,2023-06-13,2024-06-07,2024-02-04,2850
R00509,P003,2024-09-05,2025-08-31,,2350
R00510,P003,2022-07-18,2023-07-13,,2000
R00511,P003,2024-10-27,2025-04-25,,1800
R00512,P003,2023-06-24,2024-06-18,2023-12-16,2650
R00513,P003,2023-10-08,2024-10-02,2023-12-06,2000
R00514,P003,2023-03-24,2024-03-18,,1850
R00515,P003,2024-06-25,2025-06-20,,3200
R00516,P003,2022-07-03,2022-12-30,2022-12-07,1850
R00517,P003,2023-07-23,2024-07-17,,2150
R00518,P003,2024-01-15,2025-01-09,,2100
R00519,P003,2022-07-10,2023-07-05,,2950
R00520,P003,2024-05-20,2025-05-15,,3100
R00521,P003,2023-04-05,2024-03-30,,2600
R00522,P003,2022-08-09,2023-02-05,2023-01-25,2700
R00523,P003,2024-09-21,2025-09-16,,2650
R00524,P003,2023-01-12,2024-01-07,,2850
R00525,P003,2023-09-11,2024-09-05,2024-07-15,2450
R00526,P003,2022-08-06,2023-08-01,,2550
R00527,P003,2022-11-10,2023-11-05,,2000
